"Type ","Effect _OLD_","Effect Text ","Power ","Wits Ability ","Category ","Only for People? ","Effect Syntax ","","","","","","","","","","","","","","","","","",""
"","think","draw a card","2","y","education","","draw:1","","","","","","","","","","","","","","","","","",""
"","extra","draw a card","3","","","","draw:1","","","","","","","","","","","","","","","","","",""
"","loot","draw 2 cards and discard one","3","","environment","","draw:2 discard:1","","","","","","","","","","","","","","","","","",""
"","investigate","draw 2 cards and discard one","3","y","crime","","draw:2 discard:1","","","","","","","","","","","","","","","","","",""
"","_BUFF_","","","","","","","","","","","","","","","","","","","","","","","",""
"","train","a person gets +1 [P] this turn","1","","education","","buff:p for:turn","","","","","","","","","","","","","","","","","",""
"","general","a person gets +1 [P] this turn","1","","","","buff:p for:turn","","","","","","","","","","","","","","","","","",""
"","pray","a person gets +1 [W] this turn","1","y","faith","","buff:w for:turn","","","","","","","","","","","","","","","","","",""
"","teach","a person gets +1 [W] this turn","1","y","education","","buff:w for:turn","","","","","","","","","","","","","","","","","",""
"","inspire","your people get +1 [W] this turn","2","y","politics","","buff:W for:turn","","","","","","","","","","","","","","","","","",""
"","lead","your people get +1 [P] this turn","2","","politics","","buff:P for:turn","","","","","","","","","","","","","","","","","",""
"","buffable","pay [R] to give this person +1 [W]","3","","","","buff:w cost:r for:turn","","","","","","","","","","","","","","","","","",""
"","grow","double the power of a person this turn","3","","","y","buff:2p for:turn","","","","","","","","","","","","","","","","","",""
"","_RAMP_","","","","","","","","","","","","","","","","","","","","","","","",""
"","plant","draw a card, you may play an additional ressource","3","","life","","draw:1 additional:r","","","","","","","","","","","","","","","","","",""
"","explore","you may play an additional ressource","1","","travel","","additional:r","","","","","","","","","","","","","","","","","",""
"","_DISABLE_","","","","","","","","","","","","","","","","","","","","","","","",""
"","entertain","put a person out of action until your next turn","1","y","entertainment","","disable:person for:turn","","","","","","","","","","","","","","","","","",""
"","act","put a person out of action until your next turn","1","y","entertainment","","disable:person for:turn","","","","","","","","","","","","","","","","","",""
"","attract","put a person with [W] ≤ 2 out of action for a turn","1","y","entertainment","","disable:person check:w lteq:2 for:turn","","","","","","","","","","","","","","","","","",""
"","arrest","put a person out of action until your next turn","1","y","crime","","disable:person for:turn","","","","","","","","","","","","","","","","","",""
"","judge","put a person out of action until your next turn","1","","crime","","disable:person for:turn","","","","","","","","","","","","","","","","","",""
"","sabotage","put an object out of action until your next turn","1","","war","","disable:object for:turn","","","","","","","","","","","","","","","","","",""
"","_OTHER_","","","","","","","","","","","","","","","","","","","","","","","",""
"","analyze","look at the enemy deck's top card","1","","education","","spy:1","","","","","","","","","","","","","","","","","",""
"","deceive","look at the enemy deck's top card, you may put it under the deck","1","y","crime","","spy:1 may:under","","","","","","","","","","","","","","","","","",""
"","heal","a person cannot be ended until your next turn","1","y","help","","save:person for:turn","","","","","","","","","","","","","","","","","",""
"","persistent","a person cannot be ended until your next turn","1","","","","save:person for:turn","","","","","","","","","","","","","","","","","",""
"","unkillable","return this person to your hand","1","","","","return:person","","","","","","","","","","","","","","","","","",""
"","bounce","return a resource to your hand","3","","","","return:resource","","","","","","","","","","","","","","","","","",""
"","reduce","the next time when you pay [R][R] or more, pay one [R] less","2","y","energy","","reduce:rr to:r for:once","","","","","","","","","","","","","","","","","",""
"","detain","your opponent can only spend their maximum [R] - 1 next turn","1","","","","reduce:opR","","","","","","","","","","","","","","","","","",""
"","generate","discard a card to get [R]","2","y","food","","add:r cost:c","","","","","","","","","","","","","","","","","",""
"","heirloom","A person gets +1 [P] this turn","1","","","","buff:p for:turn","","","","","","","","","","","","","","","","","",""
"","leader","your people get +1 [W] this turn","1","y","politics","","buff:W for:turn","","","","","","","","","","","","","","","","","",""
"","command","your people get +1 [W] this turn","1","y","war","","buff:W for:turn","","","","","","","","","","","","","","","","","",""
"","rule","your people get +1 [W] this turn","1","y","politics","","buff:W for:turn","","","","","","","","","","","","","","","","","",""
"","kicked","pay [R] to give a person +1 [W] this turn","1","","","","buff:w cost:r","","","","","","","","","","","","","","","","","",""
"","sing","put a person out of action until your next turn","1","y","entertainment","","disable:person for:turn","","","","","","","","","","","","","","","","","",""
"","logic","look at the top two cards of your deck and put one under it","2","y","education","","scry:2 may:under","","","","","","","","","","","","","","","","","",""
"","dress","you may play an additional ressource","1","y","life","","additional:r","","","","","","","","","","","","","","","","","",""
"","learn","draw a card and discard one","2","","education","","draw:1 discard:1","","","","","","","","","","","","","","","","","",""
"","linger","pay [R][R] to draw a card and discard one","2","y","life","","draw:1 discard:1 cost:rr","","","","","","","","","","","","","","","","","",""
"","thrill","pay [R][R] and discard a card to draw 2 cards","2","y","entertainment","","draw:2 cost:rrc","","","","","","","","","","","","","","","","","",""
"","kicked","pay [R] to draw a card","2","","","","draw:1 cost:r","","","","","","","","","","","","","","","","","",""
"","sacrifice","you may forfeit a card to end a person","3","","","","draw:1 cost:c","","","","","","","","","","","","","","","","","",""
"","xy","you may forfeit another person to draw a card","3","","","y","draw:1 cost:p","","","","","","","","","","","","","","","","","",""
"","xyObj","you may forfeit an object to draw two cards","3","","","","draw:2 cost:o","","","","","","","","","","","","","","","","","",""
"","tyrannize","reduce a person's [P] to 0 until your next turn","2","y","politics","","nullify:p for:turn","","","","","","","","","","","","","","","","","",""
"","mediate","reduce a person's [P] to 0 until your next turn","2","y","politics","","nullify:p for:turn","","","","","","","","","","","","","","","","","",""
"","_HISTORY_","","","","","","","","","","","","","","","","","","","","","","","",""
"","dig","look at the top two cards of your deck and put one under it","1","y","history","","scry:2 may:under","","","","","","","","","","","","","","","","","",""
"","selection","From the top 3 cards choose one to draw and put the rest back","2","","","","scry:3","","","","","","","","","","","","","","","","","",""
"","foresee","look at the enemy deck's top card, you may put it under the deck","1","y","history","","spy:1 may:under","","","","","","","","","","","","","","","","","",""
"","_TCG STANDARD_","","","","","","","","","","","","","","","","","","","","","","","",""
"","vindicate","destroy an object or end a person","3","","","","destroy:person/object","","","","","","","","","","","","","","","","","",""
"","slow","destroy a resource","4","","","","destroy:resource","","","","","","","","","","","","","","","","","",""
"","kicked","pay [R] to end a person","3","","","","destroy:person cost:r","","","","","","","","","","","","","","","","","",""
"","echo","pay [R] or end this person","1","","","","destroy:person cost:r","","","","","","","","","","","","","","","","","",""
"","ramp","add [R]","1","","","","add:r","","","","","","","","","","","","","","","","","",""
"","_WIN1","you gain [_] for each object in your discard pile","","","","","","","","","","","","","","","","","","","","","","",""
"","_WIN2","spend 3 [_] to draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"","_WIN3","you gain 3 [_]","","","","","","","","","","","","","","","","","","","","","","",""
"","_WIN4","an opponent loses 3 [_]","","","","","","","","","","","","","","","","","","","","","","",""
"","_STATIC_","","","","","","","","","","","","","","","","","","","","","","","",""
"","protection","Opponents need to pay [R] to choose this card.","2","","","","protection:choose value:r is:static","","","","","","","","","","","","","","","","","",""
"","miracle","You can reveal this card as you draw it to make it cost [R] less.","1","","","","may:reveal reduce:r is:static","","","","","","","","","","","","","","","","","",""
"","protected","Cannot be chosen by opponents.","3","","","","protection:choose is:static","","","","","","","","","","","","","","","","","",""
"---","---","---","","---","---","---","---","","","","","","","","","","","","","","","","","",""
"fighter","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"boxer","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"murderer","murder","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"technician","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"technician","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"inventor","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"inventor","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"musician","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"composer","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"poet","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"warlord","fight","end a person with lesser power","","","","","","","","","","","","","","","","","","","","","","",""
"detective","investigate","draw 2 cards and discard one","","","","","","","","","","","","","","","","","","","","","","",""
"criminalist","investigate","draw 2 cards and discard one","","","","","","","","","","","","","","","","","","","","","","",""
"agent","deceive","look at the enemy deck's top card, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"actor","act","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"filmmaker","act","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"performer","act","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"sculptor","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"archeologist","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"archaeologist","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"architect","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"mason","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"adventurer","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"explorer","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"politician","inspire","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"cultist","pray","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"religious leader","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
"chemist","poison","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"philosopher","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"physicist","invent","filter the top 5 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"psychologist","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"astronaut","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"sportsman","train","a person gets +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"doctor","heal","a person cannot be ended until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"clown","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"educator","teach","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"surgeon","heal","a person cannot be ended until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"cartoonist","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"businessman","trade","pay [R][R][R] to draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"teacher","teach","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"tsar","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"khan","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"king","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"emperor","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"pharaoh","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"metallurgist","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"smith","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"farmer","plant","draw a card, you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"agriculturist","plant","draw a card, you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"lover","attract","put a person with [W] ≤ 2 out of action for a turn","","","","","","","","","","","","","","","","","","","","","","",""
"womanizer","attract","put a person with [W] ≤ 2 out of action for a turn","","","","","","","","","","","","","","","","","","","","","","",""
"critic","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"editor","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"journalist","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"lawyer","judge","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"judge","judge","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"ambassador","mediate","reduce a person's [P] to 0 until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"diplomat","mediate","reduce a person's [P] to 0 until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"gangster","shoot","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"mafia","shoot","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"virologist","poison","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"toxicologist","poison","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"policeman","arrest","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"hermit","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"abbess","pray","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"abolitionist","destroy","destroy an object","","","","","","","","","","","","","","","","","","","","","","",""
"absentee","","","","","","","","","","","","","","","","","","","","","","","","",""
"abstractionist","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"Acadian","","","","","","","","","","","","","","","","","","","","","","","","",""
"actress","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"adherent","","","","","","","","","","","","","","","","","","","","","","","","",""
"administrator","manage","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"admiral","command","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"adult","","","","","","","","","","","","","","","","","","","","","","","","",""
"adventurer","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"adversary","destroy","destroy an object","","","","","","","","","","","","","","","","","","","","","","",""
"advocate","judge","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"aeronautical engineer","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"African","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alaskan","","","","","","","","","","","","","","","","","","","","","","","","",""
"Altaic","","","","","","","","","","","","","","","","","","","","","","","","",""
"ambassador","manage","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"American","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Revolutionary leader","rally","filter the top 3 cards of your deck for a person","","","","","","","","","","","","","","","","","","","","","","",""
"analyst","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"anarchist","rally","filter the top 3 cards of your deck for a person","","","","","","","","","","","","","","","","","","","","","","",""
"anatomist","heal","a person cannot be ended until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"anomaly","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"anthropologist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"antipope","rally","filter the top 3 cards of your deck for a person","","","","","","","","","","","","","","","","","","","","","","",""
"Apollo","","","","","","","","","","","","","","","","","","","","","","","","",""
"Apostle","","","","","","","","","","","","","","","","","","","","","","","","",""
"apparition","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arab","","","","","","","","","","","","","","","","","","","","","","","","",""
"archaeologist","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"archangel","","","","","","","","","","","","","","","","","","","","","","","","",""
"archbishop","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
"archduke","rule","your people get +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"archeologist","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"archer","shoot","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"architect","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"archpriest","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
"arms manufacturer","construct","filter the top 3 cards of your deck for an object","","","","","","","","","","","","","","","","","","","","","","",""
"army officer","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"art critic","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"art historian","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"artist","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"Asian","","","","","","","","","","","","","","","","","","","","","","","","",""
"assassin","murder","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"astrologer","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"astronaut","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"astronomer","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"astrophysicist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"athlete","train","a person gets +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Augustinian","","","","","","","","","","","","","","","","","","","","","","","","",""
"author","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"authoritarian","","","","","","","","","","","","","","","","","","","","","","","","",""
"aviator","navigate","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"bacteriologist","poison","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"ballet dancer","attract","put a person with [W] ≤ 2 out of action for a turn","","","","","","","","","","","","","","","","","","","","","","",""
"balloonist","navigate","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"ballplayer","train","a person gets +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"bandleader","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"bandmaster","","","","","","","","","","","","","","","","","","","","","","","","",""
"banker","manage","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"barrister","judge","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"baseball coach","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"baseball player","train","a person gets +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"beggar","linger","pay [R][R] to draw a card and discard one","","","","","","","","","","","","","","","","","","","","","","",""
"believer","pray","a person gets +1 [W] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Berber","","","","","","","","","","","","","","","","","","","","","","","","",""
"biochemist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"biographer","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"biologist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"birth-control campaigner","","","","","","","","","","","","","","","","","","","","","","","","",""
"bishop","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
"Black Muslim","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bodhisattva","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolshevik","","","","","","","","","","","","","","","","","","","","","","","","",""
"botanist","plant","draw a card, you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"boy","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boy Scout","","","","","","","","","","","","","","","","","","","","","","","","",""
"broadcast journalist","research","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"buccaneer","steal","gain control of an object","","","","","","","","","","","","","","","","","","","","","","",""
"businessman","trade","pay [R][R][R] to draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"butt","","","","","","","","","","","","","","","","","","","","","","","","",""
"cabinetmaker","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"caliph","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Calvinist","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodian","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canadian","","","","","","","","","","","","","","","","","","","","","","","","",""
"capitalist","trade","pay [R][R][R] to draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"captain","navigate","look at the top card of your deck, you may put it under the deck","","","","","","","","","","","","","","","","","","","","","","",""
"card player","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"cardinal","convert","gain control of a person","","","","","","","","","","","","","","","","","","","","","","",""
"carrier","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellist","sing","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"Celt","","","","","","","","","","","","","","","","","","","","","","","","",""
"center","","","","","","","","","","","","","","","","","","","","","","","","",""
"chemist","poison","end a person","","","","","","","","","","","","","","","","","","","","","","",""
"chess master","","","","","","","","","","","","","","","","","","","","","","","","",""
"chief justice","","","","","","","","","","","","","","","","","","","","","","","","",""
"chieftain","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"choreographer","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"Christian","","","","","","","","","","","","","","","","","","","","","","","","",""
"chronicler","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"civil engineer","","","","","","","","","","","","","","","","","","","","","","","","",""
"civil rights leader","","","","","","","","","","","","","","","","","","","","","","","","",""
"claimant","","","","","","","","","","","","","","","","","","","","","","","","",""
"clarinetist","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"classicist","","","","","","","","","","","","","","","","","","","","","","","","",""
"clergyman","","","","","","","","","","","","","","","","","","","","","","","","",""
"clocksmith","","","","","","","","","","","","","","","","","","","","","","","","",""
"clown","","","","","","","","","","","","","","","","","","","","","","","","",""
"collector","","","","","","","","","","","","","","","","","","","","","","","","",""
"colonist","","","","","","","","","","","","","","","","","","","","","","","","",""
"coloratura","","","","","","","","","","","","","","","","","","","","","","","","",""
"combat pilot","","","","","","","","","","","","","","","","","","","","","","","","",""
"comedian","","","","","","","","","","","","","","","","","","","","","","","","",""
"comedienne","","","","","","","","","","","","","","","","","","","","","","","","",""
"commodore","","","","","","","","","","","","","","","","","","","","","","","","",""
"commoner","","","","","","","","","","","","","","","","","","","","","","","","",""
"communist","","","","","","","","","","","","","","","","","","","","","","","","",""
"composer","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"computer expert","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"computer scientist","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"conductor","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"confectioner","craft","you may sacrifice a resource to draw 2 cards","","","","","","","","","","","","","","","","","","","","","","",""
"conqueror","","","","","","","","","","","","","","","","","","","","","","","","",""
"conquistador","explore","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"conspirator","","","","","","","","","","","","","","","","","","","","","","","","",""
"contralto","","","","","","","","","","","","","","","","","","","","","","","","",""
"Converso","","","","","","","","","","","","","","","","","","","","","","","","",""
"convert","","","","","","","","","","","","","","","","","","","","","","","","",""
"cook","","","","","","","","","","","","","","","","","","","","","","","","",""
"corsair","","","","","","","","","","","","","","","","","","","","","","","","",""
"cosmologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"Counsel to the Crown","","","","","","","","","","","","","","","","","","","","","","","","",""
"counselor","","","","","","","","","","","","","","","","","","","","","","","","",""
"courtier","","","","","","","","","","","","","","","","","","","","","","","","",""
"couturier","dress","you may play an additional ressource","","","","","","","","","","","","","","","","","","","","","","",""
"Cretan","","","","","","","","","","","","","","","","","","","","","","","","",""
"cricketer","train","a person gets +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"criminal","","","","","","","","","","","","","","","","","","","","","","","","",""
"criminologist","","","","","","","","","","","","","","","","","","","","","","","","",""
"critic","analyze","look at the enemy deck's top card","","","","","","","","","","","","","","","","","","","","","","",""
"crooner","","","","","","","","","","","","","","","","","","","","","","","","",""
"cyclist","","","","","","","","","","","","","","","","","","","","","","","","",""
"czar","","","","","","","","","","","","","","","","","","","","","","","","",""
"dancer","entertain","put a person out of action until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"dandy","","","","","","","","","","","","","","","","","","","","","","","","",""
"dead person","","","","","","","","","","","","","","","","","","","","","","","","",""
"Death","","","","","","","","","","","","","","","","","","","","","","","","",""
"deity","","","","","","","","","","","","","","","","","","","","","","","","",""
"designer","","","","","","","","","","","","","","","","","","","","","","","","",""
"devil worshiper","","","","","","","","","","","","","","","","","","","","","","","","",""
"diarist","","","","","","","","","","","","","","","","","","","","","","","","",""
"dictator","tyrannize","reduce a person's [P] to 0 until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"diplomat","mediate","reduce a person's [P] to 0 until your next turn","","","","","","","","","","","","","","","","","","","","","","",""
"director","","","","","","","","","","","","","","","","","","","","","","","","",""
"disciple","","","","","","","","","","","","","","","","","","","","","","","","",""
"divorcee","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican","","","","","","","","","","","","","","","","","","","","","","","","",""
"double-crosser","","","","","","","","","","","","","","","","","","","","","","","","",""
"drama critic","","","","","","","","","","","","","","","","","","","","","","","","",""
"dramatist","think","draw a card","","","","","","","","","","","","","","","","","","","","","","",""
"dry","","","","","","","","","","","","","","","","","","","","","","","","",""
"duke","lead","your people get +1 [P] this turn","","","","","","","","","","","","","","","","","","","","","","",""
"Dutch","","","","","","","","","","","","","","","","","","","","","","","","",""
"earl","","","","","","","","","","","","","","","","","","","","","","","","",""
"economist","trade","pay [R][R][R] to draw a card","","","","","","","","","","","","","","","","","","","","","","",""
